Year,City,CityTemp,GlobalTemp,LocalMA,GlobalMoA,,,,,,,,,,,,,,,,
1843,Mecca,25.16,8.17,,,,,,,,,,,,,,,,,,
1844,Mecca,19.05,7.65,,,,,,,,,,,,,,,,,,
1845,Mecca,22.46,7.85,,,,,,,,,,,,,,,,,,
1846,Mecca,,8.55,,,,,,,,,,,,,,,,,,
1847,Mecca,,8.09,,,,,,,,,,,,,,,,,,
1848,Mecca,,7.98,,,,,,,,,,,,,,,,,,
1849,Mecca,,7.98,,,,,,,,,,,,,,,,,,
1850,Mecca,,7.9,,,,,,,,,,,,,,,,,,
1851,Mecca,,8.18,,,,,,,,,,,,,,,,,,
1852,Mecca,,8.1,,,,,,,,,,,,,,,,,,
1853,Mecca,,8.04,,,,,,,,,,,,,,,,,,
1854,Mecca,,8.21,,,,,,,,,,,,,,,,,,
1855,Mecca,,8.11,,,,,,,,,,,,,,,,,,
1856,Mecca,,8,,,,,,,,,,,,,,,,,,
1857,Mecca,,7.76,,,,,,,,,,,,,,,,,,
1858,Mecca,,8.1,,,,,,,,,,,,,,,,,,
1859,Mecca,,8.25,,,,,,,,,,,,,,,,,,
1860,Mecca,,7.96,,,,,,,,,,,,,,,,,,
1861,Mecca,23.98,7.85,,,,,,,,,,,,,,,,,,
1862,Mecca,24.13,7.56,,,,,,,,,,,,,,,,,,
1863,Mecca,22.87,8.11,,,,,,,,,,,,,,,,,,
1864,Mecca,25.43,7.98,,,,,,,,,,,,,,,,,,
1865,Mecca,25.6,8.18,,,,,,,,,,,,,,,,,,
1866,Mecca,25.42,8.29,,,,,,,,,,,,,,,,,,
1867,Mecca,25.62,8.44,,,,,,,,,,,,,,,,,,
1868,Mecca,25.3,8.25,,,,,,,,,,,,,,,,,,
1869,Mecca,25.65,8.43,,,,,,,,,,,,,,,,,,
1870,Mecca,25.35,8.2,,,,,,,,,,,,,,,,,,
1871,Mecca,24.97,8.12,,,,,,,,,,,,,,,,,,
1872,Mecca,25.2,8.19,24.41,8.08,,,,,,,,,,,,,,,,
1873,Mecca,25.57,8.35,24.44,8.09,,,,,,,,,,,,,,,,
1874,Mecca,25.32,8.43,24.86,8.11,,,,,,,,,,,,,,,,
1875,Mecca,24.53,7.86,25,8.12,,,,,,,,,,,,,,,,
1876,Mecca,25.13,8.08,25,8.1,,,,,,,,,,,,,,,,
1877,Mecca,25.81,8.54,25.05,8.11,,,,,,,,,,,,,,,,
1878,Mecca,25.94,8.83,25.1,8.14,,,,,,,,,,,,,,,,
1879,Mecca,25.57,8.17,25.13,8.15,,,,,,,,,,,,,,,,
1880,Mecca,25.42,8.12,25.14,8.16,,,,,,,,,,,,,,,,
1881,Mecca,26.06,8.27,25.18,8.16,,,,,,,,,,,,,,,,
1882,Mecca,25.09,8.13,25.18,8.16,,,,,,,,,,,,,,,,
1883,Mecca,25.36,7.98,25.19,8.16,,,,,,,,,,,,,,,,
1884,Mecca,25.03,7.77,25.18,8.14,,,,,,,,,,,,,,,,
1885,Mecca,25.33,7.92,25.19,8.14,,,,,,,,,,,,,,,,
1886,Mecca,25.13,7.95,25.19,8.14,,,,,,,,,,,,,,,,
1887,Mecca,25.08,7.91,25.18,8.14,,,,,,,,,,,,,,,,
1888,Mecca,25.21,8.09,25.18,8.14,,,,,,,,,,,,,,,,
1889,Mecca,25.88,8.32,25.21,8.14,,,,,,,,,,,,,,,,
1890,Mecca,25.79,7.97,25.23,8.14,,,,,,,,,,,,,,,,
1891,Mecca,25.88,8.02,25.29,8.15,,,,,,,,,,,,,,,,
1892,Mecca,25.39,8.07,25.33,8.17,,,,,,,,,,,,,,,,
1893,Mecca,25.42,8.06,25.42,8.16,,,,,,,,,,,,,,,,
1894,Mecca,25,8.16,25.4,8.17,,,,,,,,,,,,,,,,
1895,Mecca,24.96,8.15,25.38,8.17,,,,,,,,,,,,,,,,
1896,Mecca,25.24,8.21,25.37,8.17,,,,,,,,,,,,,,,,
1897,Mecca,25.27,8.29,25.36,8.16,,,,,,,,,,,,,,,,
1898,Mecca,25.59,8.18,25.37,8.16,,,,,,,,,,,,,,,,
1899,Mecca,25.57,8.4,25.37,8.16,,,,,,,,,,,,,,,,
1900,Mecca,25.5,8.5,25.37,8.17,,,,,,,,,,,,,,,,
